variant,seed,own_threshold,cal_net_saved,test_net_saved,test_activations,test_unsafe
A,42,0.08,8.6,13.8,46,0
A,137,0.08,11.4,0.8,36,0
A,271,0.18,10.3,5.2,4,0
A,512,0.05,14.1,28.2,74,0
A,1337,0.08,11.4,11.1,37,0
A,2027,0.08,18.9,0.1,37,0
A,4099,0.08,18.9,11.8,36,0
A,8191,0.15,10.3,5.9,3,0
A,16381,0.08,29.2,2.4,38,0
A,65537,0.08,18.9,10.4,38,0
B,42,0.08,8.6,13.8,46,0
B,137,0.08,11.4,0.8,36,0
B,271,0.08,10.7,12.7,39,0
B,512,0.05,13.4,28.2,74,0
B,1337,0.08,11.4,11.8,36,0
B,2027,0.08,18.9,0.1,37,0
B,4099,0.08,18.9,11.8,36,0
B,8191,0.15,10.3,5.9,3,0
B,16381,0.08,29.2,2.4,38,0
B,65537,0.08,18.9,0.1,37,0
C,42,0.08,21.5,-0.5,15,0
C,137,0.08,21.5,-0.5,15,0
C,271,0.08,21.5,-0.5,15,0
C,512,0.08,21.5,-0.5,15,0
C,1337,0.08,21.5,-0.5,15,0
C,2027,0.08,21.5,-0.5,15,0
C,4099,0.08,21.5,-0.5,15,0
C,8191,0.08,21.5,-0.5,15,0
C,16381,0.08,21.5,-0.5,15,0
C,65537,0.08,21.5,-0.5,15,0
D,42,0.05,20.6,44.4,98,0
D,137,0.08,3.6,10.1,17,0
D,271,0.08,10.4,6.3,31,0
D,512,0.08,11.8,8.4,28,0
D,1337,0.08,11.8,8.4,28,0
D,2027,0.08,9.7,13.3,21,0
D,4099,0.08,10.4,14.0,20,0
D,8191,0.08,11.8,9.8,26,0
D,16381,0.08,19.6,9.1,27,0
D,65537,0.08,10.4,12.6,22,0
